"PERSON_ID","PERNAME1","PERNAME2","SEX","DOB_DAY","DOB_MON","DOB_YEAR","hse_num","ENUMCAP","ENUMPC","str_nam","cap_add","CENSUS_ID"
"DE03US001001","COUIE","PRICE","M",1,6,1960,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001001"
"DE03US001002","ABBIE","PVICE","F",9,11,1961,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001002"
"DE03US001003","LACEY","PRICE","F",7,2,1999,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001003"
"DE03US001004","SAMUEL","PRICE","M",13,4,1990,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001004"
"DE03US001005","JOSEPH","PRICE","M",20,4,1986,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001005"
"DE03US001006","JOSH","PRICE","M",14,2,1996,"         1","1 WINDSOR ROAD","DE03US","Windsor Road","1, Windsor Road","CENSDE03US001006"
"DE03US002001","PAIGE","BELL","F",5,10,1969,"         2","2 WINDSOR ROAD","DE03US","Windsor Road","2, Windsor Road","CENSDE03US002001"
"DE03US003001","NATMAN","RUSSELL","M",11,11,1934,"         3","3 WINDSOR ROAD","DE03US","Windsor Road","3, Windsor Road","CENSDE03US003001"
"DE03US004001","ANNABEL","THOMSON","F",10,5,1918,"         4","4 WINDSOR ROAD","DE03US","Windsor Road","4, Windsor Road","CENSDE03US004001"
"DE03US005001","MOLLY","WATSON","F",29,3,1964,"         5","5 WINDSOR ROAD","DE03US","Windsor Road","5, Windsor Road","CENSDE03US005001"
"DE03US006001","ZAK","ROBINSON","M",24,8,1957,"         6","6 WINDSOR ROAD","DE03US","Windsor Road","6, Windsor Road","CENSDE03US006001"
"DE03US007001","DLAKE","GRAHAM","M",23,1,1968,"         7","7 WINDSOR ROAD","DE03US","Windsor Road","7, Windsor Road","CENSDE03US007001"
"DE03US008001","ZARA","WOOD","F",9,5,1953,"         8","8 WINDSOR ROAD","DE03US","Windsor Road","8, Windsor Road","CENSDE03US008001"
"DE03US009001","TYLER","PALMER","M",4,11,1943,"         9","9 WINDSOR ROAD","DE03US","Windsor Road","9, Windsor Road","CENSDE03US009001"
"DE03US010001","OSCAR","SHAW","M",2,3,2000,"        10","10 WINDSOR ROAD","DE03US","Windsor Road","10, Windsor Road","CENSDE03US010001"
"DE03US010002","EVIE","SHAW","F",7,2,1955,"        10","10 WINDSOR ROAD","DE03US","Windsor Road","10, Windsor Road","CENSDE03US010002"
"DE03US011001","LIAM","SHAW","M",20,11,1987,"        11","11 WINDSOR ROAD","DE03US","Windsor Road","11, Windsor Road","CENSDE03US011001"
"DE03US012001","ZAK","ANDERSON","M",17,10,1976,"        12","12 WINDSOR ROAD","DE03US","Windsor Road","12, Windsor Road","CENSDE03US012001"
"DE03US012002","NAOMI","ANDERSON","F",7,1,1975,"        12","12 WINDSOR ROAD","DE03US","Windsor Road","12, Windsor Road","CENSDE03US012002"
"DE03US012003","MILLIE","ANDERSON","F",16,8,2001,"        12","12 WINDSOR ROAD","DE03US","Windsor Road","12, Windsor Road","CENSDE03US012003"
"DE03US012004","LIAM","ANDERSON","M",28,9,1999,"        12","12 WINDSOR ROAD","DE03US","Windsor Road","12, Windsor Road","CENSDE03US012004"
"DE03US012005","FRANCESCA","ANDERSON","F",25,5,2003,"        12","12 WINDSOR ROAD","DE03US","Windsor Road","12, Windsor Road","CENSDE03US012005"
"DE03US013001","PATRYK","JONES","M",5,6,1954,"        13","13 WINDSOR ROAD","DE03US","Windsor Road","13, Windsor Road","CENSDE03US013001"
"DE03US013002","MADISON","JONES","F",6,12,1953,"        13","13 WINDSOR ROAD","DE03US","Windsor Road","13, Windsor Road","CENSDE03US013002"
"DE03US013003","CHARLOTTE","JOMES","F",26,4,1974,"        13","13 WINDSOR ROAD","DE03US","Windsor Road","13, Windsor Road","CENSDE03US013003"
"DE03US014001","EVIE","KING","F",3,10,2007,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014001"
"DE03US014002","CHARLIE","KING","M",7,7,1976,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014002"
"DE03US014003","BILLY","KING","M",2,7,1960,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014003"
"DE03US014004","EVE","KING","F",25,3,1978,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014004"
"DE03US014005","OLIVIA","KING","F",20,2,1971,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014005"
"DE03US014006","GRACE","KING","F",22,1,1992,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014006"
"DE03US014007","ELIZA","KING","F",3,1,1954,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014007"
"DE03US014008","MOHAMMAD","KING","M",22,1,2000,"        14","14 WINDSOR ROAD","DE03US","Windsor Road","14, Windsor Road","CENSDE03US014008"
"DE03US015001","BEN","MATTHEWS","M",9,8,1965,"        15","15 WINDSOR ROAD","DE03US","Windsor Road","15, Windsor Road","CENSDE03US015001"
"DE03US015002","ELEANOR","MATTHEWS","F",1,9,1962,"        15","15 WINDSOR ROAD","DE03US","Windsor Road","15, Windsor Road","CENSDE03US015002"
"DE03US015003","SAMUEL","MATTHEWS","M",25,12,2002,"        15","15 WINDSOR ROAD","DE03US","Windsor Road","15, Windsor Road","CENSDE03US015003"
"DE03US015004","MARTHA","MATTHEWS","F",14,4,1985,"        15","15 WINDSOR ROAD","DE03US","Windsor Road","15, Windsor Road","CENSDE03US015004"
"DE03US016001","HARRY","THOMAS","M",24,8,1984,"        16","16 WINDSOR ROAD","DE03US","Windsor Road","16, Windsor Road","CENSDE03US016001"
"DE03US016003","THOMAS","THOMAS","M",23,9,2010,"        16","16 WINDSOR ROAD","DE03US","Windsor Road","16, Windsor Road","CENSDE03US016003"
"DE03US016004","LAYLA","THOMAS","F",21,6,2010,"        16","16 WINDSOR ROAD","DE03US","Windsor Road","16, Windsor Road","CENSDE03US016004"
"DE03US017001","MAX","BENNETT","M",24,11,1926,"        17","17 WINDSOR ROAD","DE03US","Windsor Road","17, Windsor Road","CENSDE03US017001"
"DE03US018001","ZAKARIYA","HARVEY","",20,9,,"        18","18 WINDSOR ROAD","DE03US","Windsor Road","18, Windsor Road","CENSDE03US018001"
"DE03US018002","DAVID","HARVEY","M",18,6,1917,"        18","18 WINDSOR ROAD","DE03US","Windsor Road","18, Windsor Road","CENSDE03US018002"
"DE03US019002","BBANDON","LEWIS","M",17,2,1956,"        19","19 WINDSOR ROAD","DE03US","Windsor Road","19, Windsor Road","CENSDE03US019002"
"DE03US020001","ELIZABETH","LEWIS","F",10,2,1937,"        20","20 WINDSOR ROAD","DE03US","Windsor Road","20, Windsor Road","CENSDE03US020001"
"DE03UT022001","GEORGE","ROBERTS","M",19,5,1936,"        22","22 WINDSOR ROAD","DE03UT","Windsor Road","22, Windsor Road","CENSDE03UT022001"
"DE03UT023001","FINLEY","FOSTER","M",9,12,1945,"        23","23 WINDSOR ROAD","DE03UT","Windsor Road","23, Windsor Road","CENSDE03UT023001"
"DE03UT024001","JAYDEN","BAILEY","M",3,11,1963,"        24","24 WINDSOR ROAD","DE03UT","Windsor Road","24, Windsor Road","CENSDE03UT024001"
"DE03UT024003","MOHAMMAD","BAILEY","M",6,3,2005,"        24","24 WINDSOR ROAD","DE03UT","Windsor Road","24, Windsor Road","CENSDE03UT024003"
"DE03UT025001","REECE","SIMPSON","M",27,8,1951,"        25","25 WINDSOR ROAD","DE03UT","Windsor Road","25, Windsor Road","CENSDE03UT025001"
"DE03UT025002","","SIMPSON","F",6,1,1951,"        25","25 WINDSOR ROAD","DE03UT","Windsor Road","25, Windsor Road","CENSDE03UT025002"
